index,questions,keys,datadic,col_name,assessment,domains,measures
0,parent adult household often often swear insult put humiliate act way made afraid might physical,ACE_01,ACE,,,,
1,parent adult household often often push grab slap throw something ever hit hard marks,ACE_02,ACE,,,,
2,adult person least years older ever touch fondle touch body sexual way attempt actually oral anal vaginal intercourse w,ACE_03,ACE,,,,
3,often often feel one family loved thought important special family look feel close sup,ACE_04,ACE,,,,
4,often often feel enough eat wear dirty clothes one protect parents drunk high take care take doctor,ACE_05,ACE,,,,
5,parents ever separated divorced,ACE_06,ACE,,,,
6,mother stepmother often often pushed grabbed slapped something thrown sometimes often often kicked bitten hit fist hit something hard ever repeatedly hit least minutes threatened gun knife,ACE_07,ACE,,,,
7,live anyone problem drinker alcoholic used street drugs,ACE_08,ACE,,,,
8,household member depressed mentally ill household member attempt suicide,ACE_09,ACE,,,,
9,household member go prison,ACE_10,ACE,,,,
11,parents guardians separated,ACE_01,ACE_P,,,,
12,lived household member served time jail prison,ACE_02,ACE_P,,,,
14,saw heard household members hurt threaten hurt,ACE_04,ACE_P,,,,
15,household member swore insulted humiliated put way scared household member acted way made afraid might physically hurt,ACE_05,ACE_P,,,,
16,someone touched private parts asked touch private parts se,ACE_06,ACE_P,,,,
17,went without food clothing place live one protect,ACE_07,ACE_P,,,,
18,someone pushed grabbed slapped threw something hit hard injured marks,ACE_08,ACE_P,,,,
19,lived someone problem drinking using drugs,ACE_09,ACE_P,,,,
20,often felt unsupported unloved unprotected,ACE_10,ACE_P,,,,
21,foster care,ACE_11,ACE_P,,,,
22,experienced harassment bullying school,ACE_12,ACE_P,,,,
23,lived parent guardian died,ACE_13,ACE_P,,,,
24,separated primary caregiver deportation immigration,ACE_14,ACE_P,,,,
25,serious medical procedure life threatening illness,ACE_15,ACE_P,,,,
26,often saw heard violence neighborhood school neighborhood,ACE_16,ACE_P,,,,
27,often treated badly race sexual orientation place birth disability religion,ACE_17,ACE_P,,,,
137,easily annoyed others,ARI_P_01,ARI_P,"ARI_P,ARI_P_01",Parent Measures,Demographic_Questionnaire_Measures,Affective Reactivity Index-Parent
138,often loses temper,ARI_P_02,ARI_P,"ARI_P,ARI_P_02",Parent Measures,Demographic_Questionnaire_Measures,Affective Reactivity Index-Parent
139,stays angry long time,ARI_P_03,ARI_P,"ARI_P,ARI_P_03",Parent Measures,Demographic_Questionnaire_Measures,Affective Reactivity Index-Parent
140,angry time,ARI_P_04,ARI_P,"ARI_P,ARI_P_04",Parent Measures,Demographic_Questionnaire_Measures,Affective Reactivity Index-Parent
141,gets angry frequently,ARI_P_05,ARI_P,"ARI_P,ARI_P_05",Parent Measures,Demographic_Questionnaire_Measures,Affective Reactivity Index-Parent
142,loses temper easily,ARI_P_06,ARI_P,"ARI_P,ARI_P_06",Parent Measures,Demographic_Questionnaire_Measures,Affective Reactivity Index-Parent
143,overall irritability causes problems,ARI_P_07,ARI_P,"ARI_P,ARI_P_07",Parent Measures,Demographic_Questionnaire_Measures,Affective Reactivity Index-Parent
147,stay angry long time,ARI_S_03,ARI_S,"ARI_S,ARI_S_03",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Affective Reactivity Index – Self Report
153,forgetful,ASR_01,ASR,"ASR,ASR_01",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
154,make good use opportunities,ASR_02,ASR,"ASR,ASR_02",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
155,argue lot,ASR_03,ASR,"ASR,ASR_03",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
156,work ability,ASR_04,ASR,"ASR,ASR_04",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
157,blame others problems,ASR_05,ASR,"ASR,ASR_05",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
158,use drugs alcohol nicotine nonmedical purposes describe,ASR_06,ASR,"ASR,ASR_06",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
